item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Nina Faye Ramadan,1,5000.0,5000.0,2025-03-11,Construction,1st Floor,71.2
Momo Waggeh Ramadan/watering,1,3000.0,3000.0,2025-03-11,Construction,1st Floor,71.2
125mm Pipe,6,1200.0,7200.0,2025-03-22,Construction,1st Floor,71.2
110mm Pipe,9,750.0,6750.0,2025-03-22,Construction,1st Floor,71.2
75mm Pipe,6,650.0,3900.0,2025-03-22,Construction,1st Floor,71.2
50mm Pipe,1,550.0,550.0,2025-03-22,Construction,1st Floor,71.2
125mm x 110mm Pipe,4,150.0,600.0,2025-03-22,Construction,1st Floor,71.2
110mm Tree Pipe,15,200.0,3000.0,2025-03-22,Construction,1st Floor,71.2
110mm Elbow Pipe,7,125.0,875.0,2025-03-22,Construction,1st Floor,71.2
110mm x 75mm Pipe,12,100.0,1200.0,2025-03-22,Construction,1st Floor,71.2
110mm Bends Pipe,12,175.0,2100.0,2025-03-22,Construction,1st Floor,71.2
75mm Tree Pipe,10,125.0,1250.0,2025-03-22,Construction,1st Floor,71.2
75mm Elbow Pipe,18,100.0,1800.0,2025-03-22,Construction,1st Floor,71.2
75mm Bends pipe,14,125.0,1750.0,2025-03-22,Construction,1st Floor,71.2
75mm x 50mm Pipe,14,100.0,1400.0,2025-03-22,Construction,1st Floor,71.2
50mm Elbow Pipe,7,50.0,350.0,2025-03-22,Construction,1st Floor,71.2
Tango Glue,3,400.0,1200.0,2025-03-22,Construction,1st Floor,71.2
Pipes Transport,1,75.0,75.0,2025-03-22,Construction,1st Floor,71.2
Cement,50,420.0,21000.0,2025-03-24,Construction,1st Floor,71.2
Cement Transport ,50,20.0,1000.0,2025-03-24,Construction,1st Floor,71.2
Pebbles ,1,12500.0,12500.0,2025-03-24,Construction,1st Floor,71.2
Sand (10 Wheel),1,8000.0,8000.0,2025-03-24,Construction,1st Floor,71.2
Cement,25,420.0,10500.0,2025-03-26,Construction,1st Floor,71.2
Cement Transport ,25,20.0,500.0,2025-03-26,Construction,1st Floor,71.2
Pebbles ,1,12500.0,12500.0,2025-03-26,Construction,1st Floor,71.2
Gas for the Generator ,1,500.0,500.0,2025-03-26,Construction,1st Floor,71.2
Iron Rod(10mm),50,340.0,17000.0,2025-03-27,Construction,1st Floor,72.25
Iron Rod(6mm),25,150.0,3750.0,2025-03-27,Construction,1st Floor,72.25
Binding Wire(Bundle),1,500.0,500.0,2025-03-27,Construction,1st Floor,72.25
Cement,50,410.0,20500.0,2025-03-27,Construction,1st Floor,72.25
Cement  Transport,50,20.0,1000.0,2025-03-27,Construction,1st Floor,72.25
Iron Rod Transport,1,1000.0,1000.0,2025-03-27,Construction,1st Floor,72.25
 Sokaway Building 1st Payment ,1,20000.0,20000.0,2025-03-28,Construction,1st Floor,72.25
Asphalt Stones(Single),2,12500.0,25000.0,2025-03-28,Construction,1st Floor,72.25
Sand (10 Wheel),1,8000.0,8000.0,2025-03-29,Construction,1st Floor,72.25
Momo Waggeh Salary (April) ,1,4000.0,4000.0,2025-03-29,Construction,1st Floor,72.25
Cement,25,400.0,10000.0,2025-04-03,Construction,1st Floor,72.25
Cement  Transport,25,20.0,500.0,2025-04-03,Construction,1st Floor,72.25
Nail(kg),2,100.0,200.0,2025-04-04,Construction,1st Floor,72.25
